"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 13:13:16 GMT 2025","Thu Feb 20 13:13:19 GMT 2025","2267","","Testes de listar usuários","","com.vemser.rest.tests.usuarios.ListarUsuariosTest","testSchemaDeveListarTodosUsuariosComSucesso","CT004.1 - Validar contrato de listar usuário",""
"passed","Thu Feb 20 13:13:18 GMT 2025","Thu Feb 20 13:13:19 GMT 2025","986","","Testes de cadastrar usuários","","com.vemser.rest.tests.usuarios.CadastrarUsuariosTest","testSchemaDeveCadastrarUsuarioComSucesso","CT002.1 - Validar contrato de cadastro de usuário",""
"passed","Thu Feb 20 13:13:43 GMT 2025","Thu Feb 20 13:13:43 GMT 2025","159","","Testes de login","","com.vemser.rest.tests.login.LoginTest","testTentarLoginComCamposVazios","CT001.3 - Tentativa de logar usuário sem preencher campos",""
"passed","Thu Feb 20 13:13:39 GMT 2025","Thu Feb 20 13:13:43 GMT 2025","3449","","Testes de deletar usuários","","com.vemser.rest.tests.usuarios.DeletarUsuariosTest","testTentarDeletarUsuarioSemPreencherCampoId","CT006.3 - Tentativa de deletar usuário sem preencher campo ID",""
"passed","Thu Feb 20 13:12:49 GMT 2025","Thu Feb 20 13:12:53 GMT 2025","3685","","Testes de buscar usuários por ID","","com.vemser.rest.tests.usuarios.BuscarUsuariosPorIdTest","testBuscarUsuarioPorIdComSucesso","CT003 - Validar buscar usuário por ID",""
"passed","Thu Feb 20 13:13:43 GMT 2025","Thu Feb 20 13:13:44 GMT 2025","213","","Testes de cadastrar usuários","","com.vemser.rest.tests.usuarios.CadastrarUsuariosTest","testTentarCadastroDeUsuarioComCamposVazios","CT002.2 - Tentativa de cadastro de usuário com campos vazios",""
"passed","Thu Feb 20 13:13:43 GMT 2025","Thu Feb 20 13:13:43 GMT 2025","294","","Testes de cadastrar usuários","","com.vemser.rest.tests.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","CT002 - Validar cadastro de usuário",""
"passed","Thu Feb 20 13:13:43 GMT 2025","Thu Feb 20 13:13:44 GMT 2025","1134","","Testes de listar usuários","","com.vemser.rest.tests.usuarios.ListarUsuariosTest","testDeveListarTodosUsuariosComSucesso","CT004 - Validar listar usuário",""
"passed","Thu Feb 20 13:13:43 GMT 2025","Thu Feb 20 13:13:44 GMT 2025","497","","Testes de atualizar usuários","","com.vemser.rest.tests.usuarios.AtualizarUsuariosTest","testTentarAtualizarUsuarioSemInformarDados","CT005.4 - Tentativa de atualizar usuário sem informar dados",""
"passed","Thu Feb 20 13:13:41 GMT 2025","Thu Feb 20 13:13:43 GMT 2025","1986","","Testes de listar usuários","","com.vemser.rest.tests.usuarios.ListarUsuariosTest","testTentarListarUsuariosComCampoNomeInvalido","CT004.3 - Tentativa de listar usuário com nome inválido",""
