"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 13:48:51 GMT 2025","Thu Feb 20 13:48:54 GMT 2025","3441","","Testes de deletar usuários","","com.vemser.rest.tests.usuarios.DeletarUsuariosTest","testTentarDeletarUsuarioSemPreencherCampoId","CT006.3 - Tentativa de deletar usuário sem preencher campo ID",""
"passed","Thu Feb 20 13:47:57 GMT 2025","Thu Feb 20 13:48:01 GMT 2025","3701","","Testes de buscar usuários por ID","","com.vemser.rest.tests.usuarios.BuscarUsuariosPorIdTest","testBuscarUsuarioPorIdComSucesso","CT003 - Validar buscar usuário por ID",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","267","","Testes de atualizar usuários","","com.vemser.rest.tests.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComIdNaoCadastrado","CT005.2 - Validar atualizar usuário com ID não cadastrado",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","214","","Testes de login","","com.vemser.rest.tests.login.LoginTest","testDeveLogarComSucesso","CT001 - Validar logar usuário",""
"passed","Thu Feb 20 13:48:51 GMT 2025","Thu Feb 20 13:48:54 GMT 2025","3370","","Testes de buscar usuários por ID","","com.vemser.rest.tests.usuarios.BuscarUsuariosPorIdTest","testTentarBuscarUsuarioComIdInvalido","CT003.2 - Tentativa de buscar usuário por ID inválido",""
"passed","Thu Feb 20 13:48:26 GMT 2025","Thu Feb 20 13:48:30 GMT 2025","4503","","Testes de deletar usuários","","com.vemser.rest.tests.usuarios.DeletarUsuariosTest","testSchemaDeveDeletarUsuarioComSucesso","CT006.1 - Validar contrato de deletar usuário",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","299","","Testes de deletar usuários","","com.vemser.rest.tests.usuarios.DeletarUsuariosTest","testDeveDeletarUsuarioComSucesso","CT006 - Validar deletar usuário",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","140","","Testes de deletar usuários","","com.vemser.rest.tests.usuarios.DeletarUsuariosTest","testTentarDeletarUsuarioComIdInvalido","CT006.2 - Tentativa de deletar usuário com ID inválido",""
"passed","Thu Feb 20 13:48:26 GMT 2025","Thu Feb 20 13:48:30 GMT 2025","4595","","Testes de atualizar usuários","","com.vemser.rest.tests.usuarios.AtualizarUsuariosTest","testSchemaDeveAtualizarUsuarioComSucesso","CT005.1 - Validar contrato de atualizar usuário",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","202","","Testes de cadastrar usuários","","com.vemser.rest.tests.usuarios.CadastrarUsuariosTest","testTentarCadastroDeUsuarioComCamposVazios","CT002.2 - Tentativa de cadastro de usuário com campos vazios",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","438","","Testes de atualizar usuários","","com.vemser.rest.tests.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso","CT005 - Validar atualizar usuário",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:56 GMT 2025","1011","","Testes de listar usuários","","com.vemser.rest.tests.usuarios.ListarUsuariosTest","testDeveListarTodosUsuariosComSucesso","CT004 - Validar listar usuário",""
"passed","Thu Feb 20 13:48:52 GMT 2025","Thu Feb 20 13:48:54 GMT 2025","1966","","Testes de listar usuários","","com.vemser.rest.tests.usuarios.ListarUsuariosTest","testTentarListarUsuariosComCampoNomeInvalido","CT004.3 - Tentativa de listar usuário com nome inválido",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","275","","Testes de listar usuários","","com.vemser.rest.tests.usuarios.ListarUsuariosTest","testDeveListarUsuariosPorNomeComSucesso","CT004.2 - Validar listar usuário por nome",""
"passed","Thu Feb 20 13:48:26 GMT 2025","Thu Feb 20 13:48:30 GMT 2025","4506","","Testes de buscar usuários por ID","","com.vemser.rest.tests.usuarios.BuscarUsuariosPorIdTest","testSchemaBuscarUsuarioPorIdComSucesso","CT003.1 - Validar buscar usuário por ID",""
"passed","Thu Feb 20 13:48:51 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","3708","","Testes de atualizar usuários","","com.vemser.rest.tests.usuarios.AtualizarUsuariosTest","testTentarAtualizarUsuarioComEmailJaUtilizadoPorOutroUsuario","CT005.3 - Tentativa de atualizar usuário com e-mail em uso",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","161","","Testes de login","","com.vemser.rest.tests.login.LoginTest","testTentarLoginComCamposVazios","CT001.3 - Tentativa de logar usuário sem preencher campos",""
"passed","Thu Feb 20 13:48:55 GMT 2025","Thu Feb 20 13:48:55 GMT 2025","264","","Testes de cadastrar usuários","","com.vemser.rest.tests.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComSucesso","CT002 - Validar cadastro de usuário",""
